user_id,event_date,feature_name,event_count
U108299,2025-01-28,Workflow Created,2
U108299,2025-01-28,Automation Run,2
U108299,2025-01-31,Automation Run,2
U108299,2025-02-07,Integration Connected,1
U108299,2025-03-06,Dashboard Viewed,1
U108299,2025-04-11,Report Exported,2
U108299,2025-04-15,AI Recommendation Used,2
U108299,2025-05-20,Automation Run,1
U108299,2025-10-10,Automation Run,4
U104315,2025-01-01,Workflow Created,3
U104315,2025-01-01,Integration Connected,2
U104315,2025-01-05,Report Exported,1
U104315,2025-01-05,AI Recommendation Used,2
U104315,2025-01-05,Workflow Created,1
U104315,2025-01-05,Template Used,3
U104315,2025-01-15,Integration Connected,2
U104315,2025-01-15,Template Used,1
U104315,2025-01-15,Dashboard Viewed,2
U104315,2025-01-15,Report Exported,2
U104315,2025-01-16,Team Invite Sent,4
U104315,2025-01-16,Dashboard Viewed,1
U104315,2025-01-22,Team Invite Sent,4
U104315,2025-01-22,Workflow Created,4
U104315,2025-01-22,Team Invite Sent,4
U104315,2025-01-24,Automation Run,3
U104315,2025-01-24,Automation Run,2
U104315,2025-01-30,Workflow Created,3
U104315,2025-01-31,Automation Run,3
U104315,2025-01-31,Integration Connected,1
U104315,2025-01-31,Integration Connected,1
U104315,2025-03-04,Integration Connected,3
U104315,2025-03-13,Dashboard Viewed,2
U104315,2025-03-13,Report Exported,1
U104315,2025-03-13,Template Used,4
U104315,2025-03-17,Report Exported,1
U104315,2025-03-17,Report Exported,1
U104315,2025-03-17,Workflow Created,1
U104315,2025-03-17,Report Exported,4
U104315,2025-03-19,AI Recommendation Used,1
U104315,2025-03-19,Team Invite Sent,2
U104315,2025-03-23,Automation Run,1
U104315,2025-04-09,Report Exported,1
U104315,2025-04-09,Workflow Created,1
U104315,2025-05-13,Automation Run,4
U104315,2025-05-13,AI Recommendation Used,2
U104315,2025-05-13,Automation Run,2
U104315,2025-05-13,Dashboard Viewed,2
U104315,2025-05-13,Dashboard Viewed,2
U104315,2025-05-16,Workflow Created,4
U104315,2025-05-16,Report Exported,2
U104315,2025-05-16,Template Used,4
U104315,2025-05-16,Dashboard Viewed,3
U104315,2025-05-16,AI Recommendation Used,2
U104315,2025-06-23,Template Used,3
U104315,2025-06-23,AI Recommendation Used,2
U104315,2025-06-23,Automation Run,4
U104315,2025-06-23,Workflow Created,4
U104315,2025-06-28,Template Used,1
U104315,2025-06-28,Workflow Created,3
U104315,2025-06-28,Team Invite Sent,3
U104315,2025-06-28,Integration Connected,1
U104315,2025-08-07,Template Used,4
U104315,2025-08-07,Automation Run,2
U104315,2025-10-23,Template Used,2
U104315,2025-10-23,Automation Run,3
U104315,2025-10-23,AI Recommendation Used,3
U104315,2025-10-23,Report Exported,3
U102731,2025-01-25,Integration Connected,2
U102731,2025-01-25,AI Recommendation Used,4
U102731,2025-04-10,Template Used,3
U102731,2025-06-14,Report Exported,3
U102731,2025-07-01,Automation Run,1
U102731,2025-10-21,Dashboard Viewed,2
U102731,2025-12-14,Dashboard Viewed,4
U101221,2025-01-21,Automation Run,1
U101221,2025-01-21,Dashboard Viewed,4
U101221,2025-01-21,Template Used,2
U101221,2025-02-11,Dashboard Viewed,1
U101221,2025-02-28,Dashboard Viewed,3
U101221,2025-02-28,Report Exported,3
U101221,2025-03-24,Dashboard Viewed,2
U101221,2025-04-07,Workflow Created,3
U101221,2025-12-19,Dashboard Viewed,3
U101221,2025-12-19,Workflow Created,2
U101221,2025-12-19,Template Used,1
U101221,2025-12-22,Template Used,3
U101221,2025-12-25,Automation Run,3
U100647,2025-01-06,Template Used,4
U100647,2025-01-24,Integration Connected,4
U100647,2025-01-24,Report Exported,3
U100647,2025-01-24,Template Used,4
U100647,2025-05-07,Workflow Created,2
U100647,2025-05-15,Report Exported,1
U100647,2025-05-15,AI Recommendation Used,3
U100647,2025-05-21,Workflow Created,2
U100647,2025-05-21,Template Used,1
U100647,2025-06-03,Report Exported,3
U100647,2025-06-03,Team Invite Sent,3
U100647,2025-07-24,Report Exported,4
U100647,2025-08-07,Report Exported,4
U100647,2025-08-07,Integration Connected,4
U100647,2025-08-07,Template Used,3
U100647,2025-08-18,Workflow Created,1
U100647,2025-08-18,Integration Connected,1
U100647,2025-11-21,Automation Run,3
U100647,2025-11-21,Automation Run,1
U100647,2025-11-21,Workflow Created,3
U103877,2025-01-12,Team Invite Sent,4
U103877,2025-01-12,Integration Connected,3
U103877,2025-01-12,Automation Run,2
U103877,2025-01-15,Automation Run,3
U103877,2025-01-15,AI Recommendation Used,2
U103877,2025-01-25,Workflow Created,1
U103877,2025-01-25,Integration Connected,4
U103877,2025-01-25,Template Used,1
U103877,2025-01-25,Workflow Created,4
U103877,2025-01-30,Dashboard Viewed,2
U103877,2025-01-30,Workflow Created,4
U103877,2025-01-30,Report Exported,1
U103877,2025-02-03,Template Used,3
U103877,2025-02-03,Workflow Created,2
U103877,2025-02-03,Workflow Created,3
U103877,2025-02-05,Template Used,3
U103877,2025-02-05,AI Recommendation Used,1
U103877,2025-02-05,Integration Connected,3
U103877,2025-02-05,Template Used,3
U103877,2025-02-19,Dashboard Viewed,1
U103877,2025-02-19,Dashboard Viewed,4
U103877,2025-02-19,Template Used,2
U103877,2025-02-19,Workflow Created,4
U103877,2025-02-19,Template Used,4
U103877,2025-02-19,Report Exported,4
U103877,2025-02-19,Dashboard Viewed,3
U103877,2025-02-20,AI Recommendation Used,4
U103877,2025-02-20,Dashboard Viewed,3
U103877,2025-02-20,Workflow Created,1
U103877,2025-03-03,Integration Connected,2
U103877,2025-03-04,Workflow Created,3
U103877,2025-03-04,Automation Run,2
U103877,2025-03-04,Template Used,2
U103877,2025-03-07,Integration Connected,3
U103877,2025-03-07,Dashboard Viewed,3
U103877,2025-03-07,Report Exported,3
U103877,2025-03-14,Workflow Created,1
U103877,2025-03-14,Workflow Created,2
U103877,2025-03-22,Dashboard Viewed,3
U103877,2025-03-22,Template Used,1
U103877,2025-03-22,AI Recommendation Used,3
U103877,2025-04-03,Report Exported,4
U103877,2025-04-03,Automation Run,4
U103877,2025-04-03,Integration Connected,1
U103877,2025-04-03,Team Invite Sent,2
U103877,2025-04-03,Dashboard Viewed,3
U103877,2025-04-05,Template Used,3
U103877,2025-04-05,Report Exported,3
U103877,2025-04-08,Template Used,3
U103877,2025-04-10,AI Recommendation Used,1
U103877,2025-04-10,Dashboard Viewed,2
U103877,2025-04-10,Workflow Created,1
U103877,2025-04-10,Template Used,1
U103877,2025-04-14,Integration Connected,1
U103877,2025-04-16,Automation Run,2
U103877,2025-04-16,Template Used,3
U103877,2025-04-16,Automation Run,2
U103877,2025-04-23,Automation Run,4
U103877,2025-04-27,Dashboard Viewed,1
U103877,2025-05-05,Dashboard Viewed,2
U103877,2025-05-25,Integration Connected,2
U103877,2025-05-25,Dashboard Viewed,2
U103877,2025-05-29,Template Used,3
U103877,2025-06-04,Dashboard Viewed,1
U103877,2025-06-04,Team Invite Sent,2
U103877,2025-06-05,Team Invite Sent,4
U103877,2025-06-05,Automation Run,2
U103877,2025-06-05,Automation Run,3
U103877,2025-06-05,Dashboard Viewed,2
U103877,2025-06-24,Template Used,2
U103877,2025-06-24,Automation Run,4
U103877,2025-06-24,Automation Run,2
U103877,2025-06-24,Team Invite Sent,2
U103877,2025-06-24,AI Recommendation Used,2
U103877,2025-06-24,Workflow Created,1
U103877,2025-06-24,Workflow Created,3
U103877,2025-06-24,AI Recommendation Used,1
U103877,2025-06-25,Report Exported,4
U103877,2025-06-25,Integration Connected,2
U103877,2025-06-26,Dashboard Viewed,1
U103877,2025-07-03,Automation Run,4
U103877,2025-07-05,Automation Run,2
U103877,2025-07-05,Team Invite Sent,1
U103877,2025-07-05,Dashboard Viewed,4
U103877,2025-07-05,Template Used,2
U103877,2025-07-05,Report Exported,1
U103877,2025-09-08,Dashboard Viewed,2
U103877,2025-09-08,Automation Run,3
U103877,2025-09-08,Team Invite Sent,2
U103877,2025-09-08,Automation Run,4
U103877,2025-10-07,Dashboard Viewed,2
U103877,2025-10-07,Automation Run,4
U103877,2025-10-07,Integration Connected,3
