user_id,stage,event_date
U108299,Visit Landing Page,2025-01-02
U108299,Sign Up,2025-01-02
U108299,Verify Email,2025-01-04
U104315,Visit Landing Page,2025-01-02
U104315,Sign Up,2025-01-03
U104315,Verify Email,2025-01-04
U104315,Complete Onboarding,2025-01-01
U104315,Create First Workflow,2025-01-02
U104315,Invite Teammate,2025-01-01
U104315,Start Trial,2025-01-02
U104315,Subscribe,2025-01-03
U102731,Visit Landing Page,2025-01-01
U102731,Sign Up,2025-01-03
U101221,Visit Landing Page,2025-01-02
U101221,Sign Up,2025-01-01
U101221,Verify Email,2025-01-03
U101221,Complete Onboarding,2025-01-01
U100647,Visit Landing Page,2025-01-02
U100647,Sign Up,2025-01-01
U100647,Verify Email,2025-01-01
U103877,Visit Landing Page,2025-01-01
U103877,Sign Up,2025-01-03
U103877,Verify Email,2025-01-02
U103877,Complete Onboarding,2025-01-03
U103877,Create First Workflow,2025-01-05
U103877,Invite Teammate,2025-01-02
U103877,Start Trial,2025-01-01
U103877,Subscribe,2025-01-04
U100741,Visit Landing Page,2025-01-01
U100741,Sign Up,2025-01-03
U100741,Verify Email,2025-01-02
U100741,Complete Onboarding,2025-01-01
U100741,Create First Workflow,2025-01-02
U100741,Invite Teammate,2025-01-05
U100744,Visit Landing Page,2025-01-02
U100744,Sign Up,2025-01-03
U100744,Verify Email,2025-01-03
U100775,Visit Landing Page,2025-01-01
U100775,Sign Up,2025-01-02
U100775,Verify Email,2025-01-04
U100775,Complete Onboarding,2025-01-05
U103606,Visit Landing Page,2025-01-01
U103606,Sign Up,2025-01-02
U103606,Verify Email,2025-01-02
U100811,Visit Landing Page,2025-01-02
U100811,Sign Up,2025-01-02
U103503,Visit Landing Page,2025-01-02
U103503,Sign Up,2025-01-02
U103503,Verify Email,2025-01-01
U103503,Complete Onboarding,2025-01-05
U103492,Visit Landing Page,2025-01-02
U103492,Sign Up,2025-01-03
U103492,Verify Email,2025-01-04
U104419,Visit Landing Page,2025-01-02
U104419,Sign Up,2025-01-03
U104419,Verify Email,2025-01-03
U105540,Visit Landing Page,2025-01-02
U105540,Sign Up,2025-01-02
U105540,Verify Email,2025-01-02
U106403,Visit Landing Page,2025-01-01
U106403,Sign Up,2025-01-01
U106403,Verify Email,2025-01-03
U106403,Complete Onboarding,2025-01-03
U106403,Create First Workflow,2025-01-03
U106403,Invite Teammate,2025-01-05
U107466,Visit Landing Page,2025-01-01
U107466,Sign Up,2025-01-01
U107466,Verify Email,2025-01-04
U107466,Complete Onboarding,2025-01-03
U107466,Create First Workflow,2025-01-05
U107466,Invite Teammate,2025-01-05
U107466,Start Trial,2025-01-05
U106120,Visit Landing Page,2025-01-01
U106120,Sign Up,2025-01-02
U106120,Verify Email,2025-01-04
U106120,Complete Onboarding,2025-01-02
U106120,Create First Workflow,2025-01-06
U106120,Invite Teammate,2025-01-03
U101158,Visit Landing Page,2025-01-02
U101158,Sign Up,2025-01-03
U101158,Verify Email,2025-01-01
