user_id,purchase_date,plan,amount
U104315,2025-01-03,Growth,59
U104315,2025-02-02,Growth,59
U104315,2025-03-04,Growth,59
U104315,2025-04-03,Growth,59
U103877,2025-01-04,Growth,59
U103877,2025-02-03,Growth,59
U103877,2025-03-05,Growth,59
U103877,2025-04-04,Growth,59
U103877,2025-05-04,Growth,59
U103207,2025-01-04,Growth,59
U103207,2025-02-03,Growth,59
U103207,2025-03-05,Growth,59
U103207,2025-04-04,Growth,59
U103207,2025-05-04,Growth,59
U103207,2025-06-03,Growth,59
U103207,2025-07-03,Growth,59
U103207,2025-08-02,Growth,59
U103207,2025-09-01,Growth,59
U103207,2025-10-01,Growth,59
U103207,2025-10-31,Growth,59
U103207,2025-11-30,Growth,59
U103207,2025-12-30,Growth,59
U104553,2025-01-02,Starter,19
U104553,2025-02-01,Starter,19
U104553,2025-03-03,Starter,19
U104553,2025-04-02,Starter,19
U104553,2025-05-02,Starter,19
U104553,2025-06-01,Starter,19
U104553,2025-07-01,Starter,19
U104553,2025-07-31,Starter,19
U104553,2025-08-30,Starter,19
U104553,2025-09-29,Starter,19
U104553,2025-10-29,Starter,19
U104553,2025-11-28,Starter,19
U104553,2025-12-28,Starter,19
U105228,2025-01-08,Starter,19
U105228,2025-02-07,Starter,19
U105228,2025-03-09,Starter,19
U105228,2025-04-08,Starter,19
U105228,2025-05-08,Starter,19
U105228,2025-06-07,Starter,19
U105228,2025-07-07,Starter,19
U105228,2025-08-06,Starter,19
U105228,2025-09-05,Starter,19
U105228,2025-10-05,Starter,19
U105228,2025-11-04,Starter,19
U105228,2025-12-04,Starter,19
U107031,2025-01-06,Starter,19
U107031,2025-02-05,Starter,19
U107031,2025-03-07,Starter,19
U107031,2025-04-06,Starter,19
U107031,2025-05-06,Starter,19
U107031,2025-06-05,Starter,19
U107031,2025-07-05,Starter,19
U107031,2025-08-04,Starter,19
U107031,2025-09-03,Starter,19
U107031,2025-10-03,Starter,19
U107031,2025-11-02,Starter,19
U106587,2025-01-07,Growth,59
U106587,2025-02-06,Growth,59
U103038,2025-01-02,Starter,19
U103038,2025-02-01,Starter,19
U103038,2025-03-03,Starter,19
U103038,2025-04-02,Starter,19
U103038,2025-05-02,Starter,19
U100766,2025-01-09,Scale,149
U100766,2025-02-08,Scale,149
U100766,2025-03-10,Scale,149
U100766,2025-04-09,Scale,149
U100766,2025-05-09,Scale,149
U100766,2025-06-08,Scale,149
U100766,2025-07-08,Scale,149
U100766,2025-08-07,Scale,149
U100766,2025-09-06,Scale,149
U100766,2025-10-06,Scale,149
U100766,2025-11-05,Scale,149
U100812,2025-01-11,Growth,59
U100812,2025-02-10,Growth,59
U100812,2025-03-12,Growth,59
U100812,2025-04-11,Growth,59
U100812,2025-05-11,Growth,59
U100812,2025-06-10,Growth,59
U100812,2025-07-10,Growth,59
U106601,2025-01-06,Starter,19
U106601,2025-02-05,Starter,19
U106601,2025-03-07,Starter,19
U106601,2025-04-06,Starter,19
U106601,2025-05-06,Starter,19
U106601,2025-06-05,Starter,19
U106601,2025-07-05,Starter,19
U101949,2025-01-11,Starter,19
U101949,2025-02-10,Starter,19
U101949,2025-03-12,Starter,19
U101949,2025-04-11,Starter,19
U101949,2025-05-11,Starter,19
U101949,2025-06-10,Starter,19
U101949,2025-07-10,Starter,19
U101949,2025-08-09,Starter,19
U102038,2025-01-05,Starter,19
U102038,2025-02-04,Starter,19
U102038,2025-03-06,Starter,19
U102038,2025-04-05,Starter,19
U102038,2025-05-05,Starter,19
U102038,2025-06-04,Starter,19
U102038,2025-07-04,Starter,19
U102038,2025-08-03,Starter,19
U102038,2025-09-02,Starter,19
U102038,2025-10-02,Starter,19
U102038,2025-11-01,Starter,19
U102038,2025-12-01,Starter,19
U102038,2025-12-31,Starter,19
U107488,2025-01-12,Growth,59
U107488,2025-02-11,Growth,59
U107488,2025-03-13,Growth,59
U107488,2025-04-12,Growth,59
U107488,2025-05-12,Growth,59
U107488,2025-06-11,Growth,59
U106034,2025-01-06,Starter,19
U106034,2025-02-05,Starter,19
U106034,2025-03-07,Starter,19
U106034,2025-04-06,Starter,19
U106034,2025-05-06,Starter,19
U106034,2025-06-05,Starter,19
U106034,2025-07-05,Starter,19
U106034,2025-08-04,Starter,19
U106034,2025-09-03,Starter,19
U106034,2025-10-03,Starter,19
U106034,2025-11-02,Starter,19
U106034,2025-12-02,Starter,19
U105481,2025-01-10,Growth,59
U105481,2025-02-09,Growth,59
U105481,2025-03-11,Growth,59
U105481,2025-04-10,Growth,59
U105481,2025-05-10,Growth,59
U105481,2025-06-09,Growth,59
U105481,2025-07-09,Growth,59
U105481,2025-08-08,Growth,59
U105481,2025-09-07,Growth,59
U105481,2025-10-07,Growth,59
U101743,2025-01-12,Starter,19
U101743,2025-02-11,Starter,19
U101743,2025-03-13,Starter,19
U101743,2025-04-12,Starter,19
U101743,2025-05-12,Starter,19
U101743,2025-06-11,Starter,19
U101743,2025-07-11,Starter,19
U101743,2025-08-10,Starter,19
U101743,2025-09-09,Starter,19
U101743,2025-10-09,Starter,19
U101743,2025-11-08,Starter,19
U101743,2025-12-08,Starter,19
U103351,2025-01-07,Starter,19
U103351,2025-02-06,Starter,19
U103351,2025-03-08,Starter,19
U103351,2025-04-07,Starter,19
U105373,2025-01-09,Starter,19
U105373,2025-02-08,Starter,19
U105373,2025-03-10,Starter,19
U105373,2025-04-09,Starter,19
U105373,2025-05-09,Starter,19
U105373,2025-06-08,Starter,19
U105373,2025-07-08,Starter,19
U105373,2025-08-07,Starter,19
U101841,2025-01-12,Starter,19
U101841,2025-02-11,Starter,19
U101841,2025-03-13,Starter,19
U101841,2025-04-12,Starter,19
U101841,2025-05-12,Starter,19
U101841,2025-06-11,Starter,19
U101841,2025-07-11,Starter,19
U101841,2025-08-10,Starter,19
U101841,2025-09-09,Starter,19
U101841,2025-10-09,Starter,19
U101841,2025-11-08,Starter,19
U101841,2025-12-08,Starter,19
U103691,2025-01-15,Starter,19
U103691,2025-02-14,Starter,19
U103691,2025-03-16,Starter,19
U103691,2025-04-15,Starter,19
U103691,2025-05-15,Starter,19
U103691,2025-06-14,Starter,19
U103691,2025-07-14,Starter,19
U103691,2025-08-13,Starter,19
U103691,2025-09-12,Starter,19
U103691,2025-10-12,Starter,19
U103691,2025-11-11,Starter,19
U103691,2025-12-11,Starter,19
U107862,2025-01-12,Growth,59
U107862,2025-02-11,Growth,59
U107862,2025-03-13,Growth,59
U107862,2025-04-12,Growth,59
U107862,2025-05-12,Growth,59
U107862,2025-06-11,Growth,59
U107862,2025-07-11,Growth,59
U107862,2025-08-10,Growth,59
U107862,2025-09-09,Growth,59
U107862,2025-10-09,Growth,59
U107862,2025-11-08,Growth,59
U107862,2025-12-08,Growth,59
U104474,2025-01-11,Starter,19
U104474,2025-02-10,Starter,19
U104474,2025-03-12,Starter,19
U104474,2025-04-11,Starter,19
U104474,2025-05-11,Starter,19
U104474,2025-06-10,Starter,19
U104474,2025-07-10,Starter,19
U103838,2025-01-14,Starter,19
U103838,2025-02-13,Starter,19
U103838,2025-03-15,Starter,19
U103838,2025-04-14,Starter,19
U103838,2025-05-14,Starter,19
U103838,2025-06-13,Starter,19
U103838,2025-07-13,Starter,19
U103838,2025-08-12,Starter,19
U102118,2025-01-12,Starter,19
U102118,2025-02-11,Starter,19
U106158,2025-01-09,Starter,19
U107321,2025-01-13,Scale,149
U107321,2025-02-12,Scale,149
U107321,2025-03-14,Scale,149
U107321,2025-04-13,Scale,149
U107321,2025-05-13,Scale,149
U107321,2025-06-12,Scale,149
U107321,2025-07-12,Scale,149
U108138,2025-01-14,Starter,19
U100635,2025-01-19,Starter,19
U100635,2025-02-18,Starter,19
U100635,2025-03-20,Starter,19
U100635,2025-04-19,Starter,19
U100635,2025-05-19,Starter,19
U100635,2025-06-18,Starter,19
U100635,2025-07-18,Starter,19
U100635,2025-08-17,Starter,19
U100635,2025-09-16,Starter,19
U100635,2025-10-16,Starter,19
U100635,2025-11-15,Starter,19
U100635,2025-12-15,Starter,19
U100292,2025-01-16,Scale,149
U100292,2025-02-15,Scale,149
U100292,2025-03-17,Scale,149
U100292,2025-04-16,Scale,149
U100292,2025-05-16,Scale,149
U100292,2025-06-15,Scale,149
U100292,2025-07-15,Scale,149
U100292,2025-08-14,Scale,149
U100292,2025-09-13,Scale,149
U100292,2025-10-13,Scale,149
U100292,2025-11-12,Scale,149
U100292,2025-12-12,Scale,149
U100513,2025-01-18,Growth,59
U100513,2025-02-17,Growth,59
U100513,2025-03-19,Growth,59
U100513,2025-04-18,Growth,59
U100513,2025-05-18,Growth,59
U100513,2025-06-17,Growth,59
U100513,2025-07-17,Growth,59
U100513,2025-08-16,Growth,59
U100513,2025-09-15,Growth,59
U100513,2025-10-15,Growth,59
U101726,2025-01-12,Starter,19
U101726,2025-02-11,Starter,19
U101726,2025-03-13,Starter,19
U101726,2025-04-12,Starter,19
U101726,2025-05-12,Starter,19
U101726,2025-06-11,Starter,19
U101726,2025-07-11,Starter,19
U101726,2025-08-10,Starter,19
U101726,2025-09-09,Starter,19
U101726,2025-10-09,Starter,19
U101726,2025-11-08,Starter,19
U101726,2025-12-08,Starter,19
U106988,2025-01-20,Starter,19
U106988,2025-02-19,Starter,19
U106988,2025-03-21,Starter,19
U106988,2025-04-20,Starter,19
U106988,2025-05-20,Starter,19
U106988,2025-06-19,Starter,19
U106988,2025-07-19,Starter,19
U106988,2025-08-18,Starter,19
U106988,2025-09-17,Starter,19
U106988,2025-10-17,Starter,19
U106988,2025-11-16,Starter,19
U106988,2025-12-16,Starter,19
U104327,2025-01-21,Starter,19
U104327,2025-02-20,Starter,19
U104327,2025-03-22,Starter,19
U104327,2025-04-21,Starter,19
U104327,2025-05-21,Starter,19
U104327,2025-06-20,Starter,19
U104327,2025-07-20,Starter,19
U104327,2025-08-19,Starter,19
U104327,2025-09-18,Starter,19
U104327,2025-10-18,Starter,19
U104327,2025-11-17,Starter,19
U104327,2025-12-17,Starter,19
U100075,2025-01-16,Starter,19
U100075,2025-02-15,Starter,19
U100075,2025-03-17,Starter,19
U100075,2025-04-16,Starter,19
U100075,2025-05-16,Starter,19
U100075,2025-06-15,Starter,19
U100075,2025-07-15,Starter,19
U100075,2025-08-14,Starter,19
U100075,2025-09-13,Starter,19
U100075,2025-10-13,Starter,19
U100075,2025-11-12,Starter,19
U100075,2025-12-12,Starter,19
U106990,2025-01-21,Starter,19
U106990,2025-02-20,Starter,19
U106990,2025-03-22,Starter,19
U106990,2025-04-21,Starter,19
U106990,2025-05-21,Starter,19
U106990,2025-06-20,Starter,19
U106990,2025-07-20,Starter,19
U106990,2025-08-19,Starter,19
U106990,2025-09-18,Starter,19
U106990,2025-10-18,Starter,19
U106990,2025-11-17,Starter,19
U106990,2025-12-17,Starter,19
U102242,2025-01-20,Starter,19
U102242,2025-02-19,Starter,19
U102242,2025-03-21,Starter,19
U102242,2025-04-20,Starter,19
U102242,2025-05-20,Starter,19
U102242,2025-06-19,Starter,19
U102242,2025-07-19,Starter,19
U102242,2025-08-18,Starter,19
U102242,2025-09-17,Starter,19
U102242,2025-10-17,Starter,19
U102242,2025-11-16,Starter,19
U102242,2025-12-16,Starter,19
U102346,2025-01-22,Starter,19
U102346,2025-02-21,Starter,19
U102346,2025-03-23,Starter,19
U101908,2025-01-18,Starter,19
U101908,2025-02-17,Starter,19
U101908,2025-03-19,Starter,19
U101908,2025-04-18,Starter,19
U101908,2025-05-18,Starter,19
U101908,2025-06-17,Starter,19
U101908,2025-07-17,Starter,19
U101908,2025-08-16,Starter,19
U101908,2025-09-15,Starter,19
U101908,2025-10-15,Starter,19
U101908,2025-11-14,Starter,19
U101908,2025-12-14,Starter,19
U106939,2025-01-16,Growth,59
U106939,2025-02-15,Growth,59
U106939,2025-03-17,Growth,59
U106939,2025-04-16,Growth,59
U106939,2025-05-16,Growth,59
U106939,2025-06-15,Growth,59
U106939,2025-07-15,Growth,59
U106939,2025-08-14,Growth,59
U106939,2025-09-13,Growth,59
U105723,2025-01-18,Starter,19
U105723,2025-02-17,Starter,19
U105723,2025-03-19,Starter,19
U105723,2025-04-18,Starter,19
U105723,2025-05-18,Starter,19
U105723,2025-06-17,Starter,19
U105723,2025-07-17,Starter,19
U105723,2025-08-16,Starter,19
U105723,2025-09-15,Starter,19
U105723,2025-10-15,Starter,19
U105723,2025-11-14,Starter,19
U105723,2025-12-14,Starter,19
U103157,2025-01-18,Starter,19
U103157,2025-02-17,Starter,19
U103157,2025-03-19,Starter,19
U103157,2025-04-18,Starter,19
U103157,2025-05-18,Starter,19
U103157,2025-06-17,Starter,19
U103157,2025-07-17,Starter,19
U103157,2025-08-16,Starter,19
U103157,2025-09-15,Starter,19
U103157,2025-10-15,Starter,19
U103157,2025-11-14,Starter,19
U103157,2025-12-14,Starter,19
U101768,2025-01-22,Growth,59
U101768,2025-02-21,Growth,59
U101768,2025-03-23,Growth,59
U101768,2025-04-22,Growth,59
U101768,2025-05-22,Growth,59
U101768,2025-06-21,Growth,59
U101768,2025-07-21,Growth,59
U101768,2025-08-20,Growth,59
U101768,2025-09-19,Growth,59
U101768,2025-10-19,Growth,59
U101768,2025-11-18,Growth,59
U101768,2025-12-18,Growth,59
U100664,2025-01-26,Growth,59
U100664,2025-02-25,Growth,59
U100664,2025-03-27,Growth,59
U100664,2025-04-26,Growth,59
U100664,2025-05-26,Growth,59
U100664,2025-06-25,Growth,59
U100664,2025-07-25,Growth,59
U100664,2025-08-24,Growth,59
U100664,2025-09-23,Growth,59
U100664,2025-10-23,Growth,59
U100664,2025-11-22,Growth,59
U100664,2025-12-22,Growth,59
U104664,2025-01-23,Starter,19
U104664,2025-02-22,Starter,19
U104664,2025-03-24,Starter,19
U105387,2025-01-18,Scale,149
U105387,2025-02-17,Scale,149
U105387,2025-03-19,Scale,149
U105387,2025-04-18,Scale,149
U105387,2025-05-18,Scale,149
U105387,2025-06-17,Scale,149
U105387,2025-07-17,Scale,149
U105387,2025-08-16,Scale,149
U105387,2025-09-15,Scale,149
U105387,2025-10-15,Scale,149
U105387,2025-11-14,Scale,149
U105387,2025-12-14,Scale,149
U103966,2025-01-22,Starter,19
U103966,2025-02-21,Starter,19
U103966,2025-03-23,Starter,19
U103966,2025-04-22,Starter,19
U103966,2025-05-22,Starter,19
U103966,2025-06-21,Starter,19
U103966,2025-07-21,Starter,19
U103966,2025-08-20,Starter,19
U103966,2025-09-19,Starter,19
U103966,2025-10-19,Starter,19
U103966,2025-11-18,Starter,19
U103966,2025-12-18,Starter,19
U105780,2025-01-22,Scale,149
U105780,2025-02-21,Scale,149
