user_id,signup_date,acquisition_channel,segment,device,region,company_size,quality_score,acquisition_cost,activated,trial_started,subscription_status,plan,subscription_date,monthly_price
U108299,2025-01-01,Organic Search,Sales Team,Mobile,North America,51-200,0.984,21.32,False,False,Free,Free,,0
U104315,2025-01-01,Paid Search,Ops Manager,Desktop,LATAM,11-50,0.827,13.36,True,True,Paid,Growth,2025-01-03,59
U102731,2025-01-01,Partnership,Student / Hobby,Desktop,APAC,1-10,0.349,48.66,False,False,Free,Free,,0
U101221,2025-01-01,Organic Search,Sales Team,Desktop,Europe,1-10,0.755,22.54,False,False,Free,Free,,0
U100647,2025-01-01,Social,Founder,Tablet,North America,1-10,1.1,28.85,False,False,Free,Free,,0
U103877,2025-01-01,Organic Search,Marketing Team,Desktop,Europe,51-200,1.269,18.11,True,True,Paid,Growth,2025-01-04,59
U100741,2025-01-01,Organic Search,Founder,Mobile,Europe,51-200,1.117,10.81,True,False,Free,Free,,0
U100744,2025-01-01,Partnership,Founder,Mobile,North America,201-1000,1.176,2.54,False,False,Free,Free,,0
U100775,2025-01-01,Content,Marketing Team,Desktop,LATAM,201-1000,1.117,7.36,False,False,Free,Free,,0
U103606,2025-01-01,Paid Search,Student / Hobby,Desktop,Europe,1-10,0.328,69.41,False,False,Free,Free,,0
U100811,2025-01-01,Social,Founder,Desktop,North America,51-200,0.474,16.48,False,False,Free,Free,,0
U103503,2025-01-01,Paid Search,Founder,Desktop,North America,11-50,0.852,28.96,False,False,Free,Free,,0
U103492,2025-01-01,Organic Search,Ops Manager,Mobile,Europe,11-50,1.374,12.95,False,False,Free,Free,,0
U104419,2025-01-01,Content,Founder,Tablet,MEA,1-10,1.487,13.56,False,False,Free,Free,,0
U105540,2025-01-01,Paid Search,Ops Manager,Desktop,North America,1-10,1.184,4.58,False,False,Free,Free,,0
U106403,2025-01-01,Organic Search,Ops Manager,Mobile,Europe,11-50,1.113,26.8,True,False,Free,Free,,0
U107466,2025-01-01,Partnership,Marketing Team,Mobile,North America,51-200,1.098,20.03,True,True,Trial,Free,,0
U106120,2025-01-01,Content,Ops Manager,Desktop,Europe,11-50,1.162,20.46,True,False,Free,Free,,0
U101158,2025-01-01,Organic Search,Sales Team,Mobile,Europe,1-10,1.057,3.77,False,False,Free,Free,,0
U103207,2025-01-01,Paid Search,Ops Manager,Desktop,North America,1-10,0.748,43.24,True,True,Paid,Growth,2025-01-04,59
U103179,2025-01-01,Organic Search,Sales Team,Desktop,MEA,1-10,1.544,7.55,False,False,Free,Free,,0
U103151,2025-01-01,Referral,Sales Team,Desktop,Europe,11-50,1.302,12.77,True,False,Free,Free,,0
U107766,2025-01-01,Paid Search,Sales Team,Desktop,North America,1-10,0.623,2.34,False,False,Free,Free,,0
U106159,2025-01-01,Paid Search,Sales Team,Mobile,Europe,201-1000,0.982,21.1,False,False,Free,Free,,0
U100998,2025-01-01,Social,Student / Hobby,Desktop,North America,11-50,0.25,74.26,False,False,Free,Free,,0
U102880,2025-01-01,Referral,Founder,Desktop,Europe,11-50,1.21,30.37,True,False,Free,Free,,0
U107636,2025-01-01,Organic Search,Founder,Desktop,North America,1-10,1.104,23.21,True,False,Free,Free,,0
U103453,2025-01-01,Social,Sales Team,Desktop,Europe,1-10,1.019,12.18,True,False,Free,Free,,0
U104553,2025-01-01,Referral,Ops Manager,Desktop,North America,11-50,1.944,5.97,True,True,Paid,Starter,2025-01-02,19
U102585,2025-01-01,Referral,Marketing Team,Desktop,LATAM,11-50,1.144,22.67,True,False,Free,Free,,0
U107009,2025-01-01,Paid Search,Founder,Desktop,North America,1000+,0.711,7.94,False,False,Free,Free,,0
U105156,2025-01-01,Content,Sales Team,Desktop,Europe,11-50,1.105,10.61,True,False,Free,Free,,0
U101314,2025-01-01,Organic Search,Sales Team,Mobile,North America,1-10,1.108,52.03,False,False,Free,Free,,0
U105178,2025-01-01,Paid Search,Marketing Team,Desktop,North America,11-50,0.399,20.25,False,False,Free,Free,,0
U105183,2025-01-01,Organic Search,Sales Team,Mobile,LATAM,1-10,0.824,31.63,False,False,Free,Free,,0
U105228,2025-01-01,Social,Ops Manager,Desktop,North America,11-50,1.151,18.94,True,True,Paid,Starter,2025-01-08,19
U106623,2025-01-01,Partnership,Ops Manager,Mobile,North America,201-1000,1.244,9.61,False,False,Free,Free,,0
U107031,2025-01-01,Referral,Ops Manager,Desktop,Europe,11-50,1.53,18.61,True,True,Paid,Starter,2025-01-06,19
U106587,2025-01-01,Referral,Ops Manager,Desktop,APAC,1-10,2.128,28.7,True,True,Paid,Growth,2025-01-07,59
U108015,2025-01-01,Referral,Student / Hobby,Mobile,APAC,11-50,0.577,10.0,False,False,Free,Free,,0
U101617,2025-01-01,Organic Search,Founder,Desktop,North America,11-50,1.189,18.3,True,False,Free,Free,,0
U108035,2025-01-01,Referral,Marketing Team,Desktop,North America,11-50,1.121,22.74,False,False,Free,Free,,0
U107929,2025-01-01,Organic Search,Sales Team,Desktop,Europe,1-10,0.725,19.07,False,False,Free,Free,,0
U101837,2025-01-01,Paid Search,Student / Hobby,Desktop,APAC,1-10,0.25,46.43,False,False,Free,Free,,0
U104773,2025-01-01,Paid Search,Ops Manager,Desktop,Europe,201-1000,1.232,8.28,True,True,Trial,Free,,0
U105482,2025-01-01,Organic Search,Ops Manager,Desktop,APAC,201-1000,1.764,36.33,False,False,Free,Free,,0
U104642,2025-01-01,Organic Search,Sales Team,Desktop,North America,51-200,1.297,10.19,False,False,Free,Free,,0
U105424,2025-01-02,Paid Search,Founder,Desktop,Europe,201-1000,0.998,3.5,False,False,Free,Free,,0
U103038,2025-01-02,Content,Ops Manager,Desktop,North America,51-200,1.487,9.33,True,True,Paid,Starter,2025-01-02,19
U106128,2025-01-02,Organic Search,Founder,Mobile,North America,51-200,1.054,7.96,False,False,Free,Free,,0
U107575,2025-01-02,Paid Search,Ops Manager,Desktop,Europe,11-50,0.912,31.85,False,False,Free,Free,,0
U102922,2025-01-02,Social,Founder,Mobile,North America,51-200,0.726,32.26,False,False,Free,Free,,0
U106989,2025-01-02,Content,Founder,Desktop,Europe,11-50,1.36,6.0,True,True,Trial,Free,,0
U105451,2025-01-02,Organic Search,Ops Manager,Desktop,North America,51-200,1.216,27.54,False,False,Free,Free,,0
U105594,2025-01-02,Content,Sales Team,Mobile,North America,11-50,0.9,17.05,False,False,Free,Free,,0
U107550,2025-01-02,Referral,Ops Manager,Mobile,North America,11-50,1.987,6.17,True,False,Free,Free,,0
U106744,2025-01-02,Paid Search,Marketing Team,Desktop,North America,1-10,0.777,10.66,True,False,Free,Free,,0
U107176,2025-01-02,Organic Search,Sales Team,Mobile,North America,1-10,1.149,53.05,True,False,Free,Free,,0
U107122,2025-01-02,Organic Search,Marketing Team,Desktop,North America,51-200,0.803,36.24,False,False,Free,Free,,0
U100595,2025-01-02,Partnership,Founder,Desktop,LATAM,1000+,1.652,9.48,False,False,Free,Free,,0
U108431,2025-01-02,Organic Search,Sales Team,Mobile,North America,1-10,0.962,23.64,True,False,Free,Free,,0
U107203,2025-01-02,Social,Founder,Tablet,APAC,1-10,0.57,11.1,False,False,Free,Free,,0
U104281,2025-01-02,Referral,Marketing Team,Desktop,APAC,51-200,1.402,10.83,True,True,Trial,Free,,0
U104775,2025-01-02,Organic Search,Ops Manager,Desktop,APAC,201-1000,1.533,2.76,True,False,Free,Free,,0
U108294,2025-01-02,Paid Search,Ops Manager,Desktop,North America,1-10,1.012,17.61,True,True,Trial,Free,,0
U104966,2025-01-02,Paid Search,Marketing Team,Mobile,North America,11-50,0.584,51.4,False,False,Free,Free,,0
U104156,2025-01-02,Organic Search,Ops Manager,Desktop,Europe,1-10,1.488,10.87,False,False,Free,Free,,0
U105922,2025-01-02,Organic Search,Sales Team,Desktop,APAC,201-1000,0.976,10.9,True,False,Free,Free,,0
U104991,2025-01-02,Referral,Student / Hobby,Desktop,North America,201-1000,0.478,28.1,False,False,Free,Free,,0
U105031,2025-01-02,Referral,Sales Team,Mobile,Europe,51-200,1.084,16.0,False,False,Free,Free,,0
U100766,2025-01-02,Paid Search,Ops Manager,Desktop,Europe,51-200,1.197,15.14,True,True,Paid,Scale,2025-01-09,149
U107013,2025-01-02,Paid Search,Founder,Desktop,North America,11-50,0.861,9.44,False,False,Free,Free,,0
U106042,2025-01-02,Paid Search,Founder,Desktop,North America,1000+,1.049,32.68,True,False,Free,Free,,0
U100423,2025-01-02,Paid Search,Student / Hobby,Desktop,Europe,1-10,0.7,21.37,False,False,Free,Free,,0
U103439,2025-01-02,Referral,Founder,Desktop,APAC,1-10,1.401,37.88,False,False,Free,Free,,0
U108500,2025-01-02,Referral,Marketing Team,Mobile,Europe,11-50,1.103,8.73,False,False,Free,Free,,0
U103463,2025-01-02,Referral,Student / Hobby,Desktop,North America,1-10,0.734,18.28,True,False,Free,Free,,0
U101101,2025-01-02,Partnership,Ops Manager,Desktop,North America,11-50,1.934,10.68,True,False,Free,Free,,0
U102384,2025-01-02,Content,Marketing Team,Desktop,LATAM,51-200,1.223,17.46,True,True,Trial,Free,,0
U108077,2025-01-02,Paid Search,Sales Team,Desktop,North America,1-10,0.627,26.76,False,False,Free,Free,,0
U100052,2025-01-02,Organic Search,Ops Manager,Desktop,North America,11-50,1.304,11.55,False,False,Free,Free,,0
U102299,2025-01-02,Referral,Marketing Team,Mobile,North America,1-10,1.022,13.26,False,False,Free,Free,,0
U101323,2025-01-02,Organic Search,Sales Team,Desktop,Europe,201-1000,1.236,12.99,False,False,Free,Free,,0
U103996,2025-01-03,Social,Sales Team,Desktop,APAC,11-50,0.469,34.15,False,False,Free,Free,,0
U102940,2025-01-03,Social,Marketing Team,Tablet,North America,1-10,0.922,22.18,False,False,Free,Free,,0
U102115,2025-01-03,Organic Search,Ops Manager,Desktop,APAC,1-10,1.256,9.24,False,False,Free,Free,,0
U107406,2025-01-03,Social,Founder,Mobile,MEA,51-200,1.081,19.22,True,True,Trial,Free,,0
U102958,2025-01-03,Social,Founder,Desktop,North America,1-10,1.026,19.68,False,False,Free,Free,,0
U104418,2025-01-03,Organic Search,Founder,Desktop,LATAM,51-200,1.349,2.66,True,False,Free,Free,,0
U106013,2025-01-03,Organic Search,Ops Manager,Tablet,North America,1-10,1.368,21.98,False,False,Free,Free,,0
U101911,2025-01-03,Paid Search,Ops Manager,Desktop,APAC,201-1000,0.636,5.21,False,False,Free,Free,,0
U106073,2025-01-03,Organic Search,Founder,Tablet,MEA,1-10,0.948,11.5,True,False,Free,Free,,0
U106496,2025-01-03,Social,Marketing Team,Desktop,North America,11-50,0.567,19.89,False,False,Free,Free,,0
U101952,2025-01-03,Paid Search,Ops Manager,Desktop,APAC,1-10,1.244,16.85,True,True,Trial,Free,,0
U104305,2025-01-03,Paid Search,Student / Hobby,Desktop,MEA,1-10,0.25,27.02,False,False,Free,Free,,0
U103321,2025-01-03,Referral,Marketing Team,Desktop,MEA,1-10,1.055,32.62,True,False,Free,Free,,0
U102394,2025-01-03,Paid Search,Founder,Desktop,North America,1-10,0.916,21.28,False,False,Free,Free,,0
U107392,2025-01-03,Organic Search,Sales Team,Desktop,Europe,201-1000,0.937,16.95,False,False,Free,Free,,0
U100535,2025-01-03,Content,Sales Team,Desktop,Europe,1-10,0.752,33.05,False,False,Free,Free,,0
U107100,2025-01-03,Paid Search,Founder,Desktop,Europe,51-200,0.949,41.82,False,False,Free,Free,,0
U100205,2025-01-03,Paid Search,Founder,Mobile,North America,1-10,0.922,14.37,False,False,Free,Free,,0
U106898,2025-01-03,Content,Student / Hobby,Desktop,Europe,1-10,0.429,26.16,False,False,Free,Free,,0
U100841,2025-01-03,Content,Marketing Team,Desktop,LATAM,1-10,1.198,10.47,False,False,Free,Free,,0
U105625,2025-01-03,Social,Founder,Mobile,MEA,11-50,0.745,43.01,True,False,Free,Free,,0
U105305,2025-01-03,Content,Ops Manager,Desktop,APAC,11-50,1.302,8.57,False,False,Free,Free,,0
U106610,2025-01-03,Paid Search,Ops Manager,Desktop,APAC,11-50,0.827,30.23,False,False,Free,Free,,0
U100395,2025-01-03,Social,Founder,Desktop,LATAM,11-50,0.479,8.33,False,False,Free,Free,,0
U107435,2025-01-03,Organic Search,Founder,Desktop,North America,11-50,1.212,35.39,True,True,Paid,Starter,2025-01-09,19
U102023,2025-01-03,Paid Search,Founder,Desktop,LATAM,1-10,1.031,15.17,False,False,Free,Free,,0
U102719,2025-01-03,Organic Search,Ops Manager,Desktop,APAC,201-1000,1.096,10.04,False,False,Free,Free,,0
U107974,2025-01-03,Referral,Sales Team,Mobile,Europe,1-10,1.504,3.78,True,False,Free,Free,,0
U106625,2025-01-03,Organic Search,Sales Team,Mobile,APAC,1-10,0.864,37.84,False,False,Free,Free,,0
U107062,2025-01-03,Paid Search,Marketing Team,Desktop,LATAM,201-1000,1.017,13.18,False,False,Free,Free,,0
U102539,2025-01-03,Paid Search,Founder,Mobile,Europe,11-50,0.715,71.48,True,False,Free,Free,,0
U104838,2025-01-03,Referral,Marketing Team,Desktop,APAC,11-50,0.991,15.66,True,False,Free,Free,,0
U103218,2025-01-03,Content,Marketing Team,Desktop,North America,201-1000,0.838,16.94,False,False,Free,Free,,0
U103377,2025-01-03,Referral,Ops Manager,Desktop,Europe,1-10,1.653,5.9,True,False,Free,Free,,0
U104222,2025-01-03,Organic Search,Founder,Mobile,APAC,1-10,0.746,13.68,True,False,Free,Free,,0
U103801,2025-01-04,Partnership,Student / Hobby,Mobile,North America,11-50,0.584,28.15,False,False,Free,Free,,0
U105961,2025-01-04,Paid Search,Sales Team,Desktop,North America,201-1000,0.521,60.18,False,False,Free,Free,,0
U100797,2025-01-04,Paid Search,Founder,Desktop,Europe,51-200,1.073,37.87,True,False,Free,Free,,0
U100812,2025-01-04,Organic Search,Ops Manager,Mobile,North America,1-10,1.407,10.78,True,True,Paid,Growth,2025-01-11,59
U103532,2025-01-04,Paid Search,Marketing Team,Mobile,Europe,51-200,0.25,64.07,False,False,Free,Free,,0
U100826,2025-01-04,Referral,Marketing Team,Desktop,Europe,1-10,1.266,8.66,True,False,Free,Free,,0
U102052,2025-01-04,Social,Founder,Mobile,MEA,1-10,0.793,26.11,False,False,Free,Free,,0
U106751,2025-01-04,Organic Search,Ops Manager,Tablet,North America,1-10,1.244,8.48,False,False,Free,Free,,0
U104337,2025-01-04,Partnership,Ops Manager,Desktop,North America,11-50,1.58,4.9,False,False,Free,Free,,0
U100683,2025-01-04,Organic Search,Founder,Mobile,MEA,201-1000,1.666,11.29,False,False,Free,Free,,0
