activity_date,dau,sessions,avg_session_minutes,workflows_created,automations_run
2025-01-01,4,13,44.332499999999996,0,1
2025-01-02,11,18,23.688181818181818,3,8
2025-01-03,5,9,24.972,0,1
2025-01-04,5,9,38.186,0,0
2025-01-05,13,35,30.456923076923076,1,3
2025-01-06,23,52,34.797391304347826,2,7
2025-01-07,17,35,36.01176470588236,1,2
2025-01-08,26,66,33.695,3,12
2025-01-09,33,67,24.234242424242424,5,18
2025-01-10,36,70,27.101666666666667,8,20
2025-01-11,25,54,24.819200000000002,3,5
2025-01-12,25,47,26.2304,0,1
2025-01-13,43,77,23.484651162790698,5,13
2025-01-14,37,81,26.138378378378377,1,1
2025-01-15,69,127,24.1863768115942,11,26
2025-01-16,54,133,30.99037037037037,7,15
2025-01-17,62,115,22.805806451612902,8,16
2025-01-18,35,67,24.59342857142857,5,11
2025-01-19,47,107,28.015106382978725,0,1
2025-01-20,59,109,22.669661016949153,5,9
2025-01-21,72,145,25.69388888888889,4,6
2025-01-22,81,164,25.556913580246913,11,28
2025-01-23,76,168,30.349868421052633,14,21
2025-01-24,86,169,22.558372093023255,12,29
2025-01-25,57,126,26.716491228070176,7,14
2025-01-26,63,129,27.700793650793653,8,30
2025-01-27,89,151,23.40123595505618,15,39
2025-01-28,100,215,31.100700000000003,12,29
2025-01-29,103,215,25.04990291262136,15,31
2025-01-30,109,236,29.619449541284403,11,24
2025-01-31,120,243,24.951166666666666,20,51
2025-02-01,64,124,23.72390625,11,21
2025-02-02,75,153,25.992,8,17
2025-02-03,101,213,30.935643564356436,19,37
2025-02-04,130,262,24.206153846153846,21,44
2025-02-05,126,245,26.444047619047616,11,20
2025-02-06,134,268,27.29992537313433,22,44
2025-02-07,126,239,24.663333333333334,16,50
2025-02-08,84,155,23.28047619047619,10,16
2025-02-09,89,159,24.79134831460674,8,19
2025-02-10,127,238,22.12795275590551,19,49
2025-02-11,148,304,26.534121621621622,25,59
2025-02-12,151,301,25.171258278145697,15,38
2025-02-13,150,320,25.827066666666667,17,58
2025-02-14,165,322,25.964848484848485,22,48
2025-02-15,104,225,28.06019230769231,7,12
2025-02-16,102,209,28.876372549019607,15,42
2025-02-17,168,325,24.206011904761905,26,69
2025-02-18,171,329,23.801052631578948,17,38
2025-02-19,151,275,24.234768211920528,23,57
2025-02-20,181,342,24.958342541436465,21,57
2025-02-21,183,376,26.535792349726776,20,56
2025-02-22,119,267,25.039075630252103,10,23
2025-02-23,112,229,29.68732142857143,10,14
2025-02-24,170,356,27.799647058823528,22,52
2025-02-25,162,328,25.94172839506173,23,59
2025-02-26,175,377,27.728571428571428,27,54
2025-02-27,192,386,25.080416666666665,23,65
2025-02-28,180,378,27.984944444444444,18,49
2025-03-01,114,226,25.322105263157894,16,49
2025-03-02,102,202,29.063823529411767,16,39
2025-03-03,203,424,26.276847290640394,26,61
2025-03-04,199,410,25.29472361809045,24,52
2025-03-05,180,363,24.87938888888889,19,43
2025-03-06,175,348,24.36034285714286,18,55
2025-03-07,186,358,24.304032258064517,26,58
2025-03-08,137,271,25.746861313868614,16,40
2025-03-09,139,302,27.04597122302158,20,58
2025-03-10,187,389,28.082620320855614,20,41
2025-03-11,235,439,27.782723404255318,29,61
2025-03-12,225,452,27.401688888888888,23,68
2025-03-13,200,408,26.0698,29,67
2025-03-14,212,438,25.951933962264153,27,54
2025-03-15,137,269,26.18124087591241,17,37
2025-03-16,149,290,24.798053691275168,20,66
2025-03-17,253,485,25.229209486166006,29,70
2025-03-18,222,424,23.54572072072072,30,78
2025-03-19,213,442,28.3512676056338,25,55
2025-03-20,217,436,26.87552995391705,27,64
2025-03-21,217,434,28.456774193548387,24,69
2025-03-22,155,314,28.540064516129032,14,27
2025-03-23,170,340,24.953823529411764,19,55
2025-03-24,235,471,27.542638297872344,25,57
2025-03-25,240,477,24.47125,35,91
2025-03-26,249,513,25.909357429718877,30,59
2025-03-27,244,516,26.135040983606558,38,108
2025-03-28,242,475,24.77140495867769,26,70
2025-03-29,161,296,25.771490683229814,22,48
2025-03-30,126,256,22.843492063492064,12,26
2025-03-31,245,546,29.88473469387755,32,69
2025-04-01,243,496,26.54925925925926,32,85
2025-04-02,255,519,26.026352941176473,35,82
2025-04-03,243,474,25.870041152263376,25,65
2025-04-04,258,510,23.81205426356589,35,75
2025-04-05,153,314,26.98934640522876,17,51
2025-04-06,175,355,26.483714285714285,20,57
2025-04-07,252,488,25.12075396825397,39,105
2025-04-08,269,548,26.996133828996282,32,84
2025-04-09,249,525,27.119196787148596,38,104
2025-04-10,276,574,27.94572463768116,31,70
2025-04-11,279,570,26.686738351254483,30,78
2025-04-12,180,334,23.950111111111113,16,34
2025-04-13,193,370,23.684870466321247,16,47
2025-04-14,282,577,26.887836879432623,39,98
2025-04-15,297,570,25.404410774410774,39,101
2025-04-16,287,554,23.723449477351917,39,94
2025-04-17,293,595,27.320443686006826,39,92
2025-04-18,303,594,25.444719471947195,42,135
2025-04-19,191,413,28.46146596858639,17,40
2025-04-20,189,373,27.90640211640212,19,50
2025-04-21,279,586,29.02767025089606,35,76
2025-04-22,294,597,28.218129251700677,36,112
2025-04-23,307,622,26.51970684039088,44,110
2025-04-24,298,597,26.088523489932886,31,73
2025-04-25,280,597,27.209714285714288,27,81
2025-04-26,177,348,24.5925988700565,18,35
2025-04-27,192,396,26.56067708333333,28,80
2025-04-28,294,621,27.24465986394558,40,96
2025-04-29,324,671,26.2854012345679,34,84
2025-04-30,309,618,27.620032362459547,35,82
2025-05-01,278,522,22.328741007194246,35,98
2025-05-02,315,607,25.763333333333332,30,79
2025-05-03,203,416,28.580295566502464,37,93
2025-05-04,178,336,23.591348314606744,24,68
