acquisition_channel,segment,users,revenue,avg_cac,arppu,ltv_cac_ratio
Referral,Ops Manager,82,27494,11.302813688212927,335.2926829268293,29.664532405456466
Organic Search,Ops Manager,67,18612,16.490760869565218,277.7910447761194,16.845253349637797
Organic Search,Founder,56,18341,15.967352185089975,327.51785714285717,20.511719998804022
Paid Search,Ops Manager,37,16449,16.5588122605364,444.56756756756755,26.84779322168403
Referral,Founder,53,14656,13.109760479041915,276.52830188679246,21.09331458258661
Referral,Sales Team,27,10642,12.317191011235956,394.14814814814815,31.999840530896968
Paid Search,Founder,28,9539,21.53861878453039,340.67857142857144,15.817103911661034
Content,Ops Manager,24,8484,18.751217948717947,353.5,18.852108751910134
Referral,Marketing Team,17,6774,15.878962264150944,398.47058823529414,25.09424618603063
Organic Search,Sales Team,21,5979,18.304380165289256,284.7142857142857,15.554434684119581
Partnership,Ops Manager,23,5651,10.023396226415095,245.69565217391303,24.51221588211993
Content,Sales Team,10,5603,13.542597402597401,560.3,41.37315637047124
Content,Founder,17,5018,16.508333333333333,295.1764705882353,17.88045253437064
Social,Ops Manager,12,4503,23.017662337662337,375.25,16.302698097451987
Partnership,Founder,11,3862,10.847179487179488,351.09090909090907,32.36702310548755
Paid Search,Sales Team,9,3459,18.50049180327869,384.3333333333333,20.774222513653456
Organic Search,Marketing Team,19,3095,17.50896,162.89473684210526,9.303507280963876
Social,Founder,8,2618,20.628225806451614,327.25,15.864185464638961
Paid Search,Marketing Team,11,2570,14.005285714285714,233.63636363636363,16.682013377138688
Content,Marketing Team,6,1360,22.3435,226.66666666666666,10.144635650935022
Organic Search,Student / Hobby,2,782,17.59111111111111,391.0,22.227134916624557
Partnership,Marketing Team,3,729,19.025454545454547,243.0,12.7723623853211
Partnership,Sales Team,3,708,17.286666666666665,236.0,13.65214037794061
Social,Sales Team,2,691,28.165555555555553,345.5,12.266756085052666
Referral,Student / Hobby,3,306,13.194999999999999,102.0,7.730200833649111
Social,Student / Hobby,1,228,49.919999999999995,228.0,4.5673076923076925
Social,Marketing Team,3,209,6.643636363636364,69.66666666666667,10.486225141397556
Partnership,Student / Hobby,1,114,31.84,114.0,3.580402010050251
