user_id,signup_date,acquisition_channel,segment,device,region,company_size,quality_score,acquisition_cost,activated,trial_started,subscription_status,plan,subscription_date,monthly_price
U104315,2025-01-01,Paid Search,Ops Manager,Desktop,LATAM,11-50,0.827,13.36,True,True,Paid,Growth,2025-01-03,59
U103877,2025-01-01,Organic Search,Marketing Team,Desktop,Europe,51-200,1.269,18.11,True,True,Paid,Growth,2025-01-04,59
U103207,2025-01-01,Paid Search,Ops Manager,Desktop,North America,1-10,0.748,43.24,True,True,Paid,Growth,2025-01-04,59
U104553,2025-01-01,Referral,Ops Manager,Desktop,North America,11-50,1.944,5.97,True,True,Paid,Starter,2025-01-02,19
U105228,2025-01-01,Social,Ops Manager,Desktop,North America,11-50,1.151,18.94,True,True,Paid,Starter,2025-01-08,19
U107031,2025-01-01,Referral,Ops Manager,Desktop,Europe,11-50,1.53,18.61,True,True,Paid,Starter,2025-01-06,19
U106587,2025-01-01,Referral,Ops Manager,Desktop,APAC,1-10,2.128,28.7,True,True,Paid,Growth,2025-01-07,59
U103038,2025-01-02,Content,Ops Manager,Desktop,North America,51-200,1.487,9.33,True,True,Paid,Starter,2025-01-02,19
U100766,2025-01-02,Paid Search,Ops Manager,Desktop,Europe,51-200,1.197,15.14,True,True,Paid,Scale,2025-01-09,149
U107435,2025-01-03,Organic Search,Founder,Desktop,North America,11-50,1.212,35.39,True,True,Paid,Starter,2025-01-09,19
U100812,2025-01-04,Organic Search,Ops Manager,Mobile,North America,1-10,1.407,10.78,True,True,Paid,Growth,2025-01-11,59
U106601,2025-01-04,Referral,Ops Manager,Desktop,North America,1-10,1.729,8.41,True,True,Paid,Starter,2025-01-06,19
U101949,2025-01-04,Referral,Founder,Desktop,Europe,1-10,1.66,6.08,True,True,Paid,Starter,2025-01-11,19
U102038,2025-01-05,Organic Search,Founder,Tablet,North America,1-10,1.379,5.63,True,True,Paid,Starter,2025-01-05,19
U107488,2025-01-05,Partnership,Ops Manager,Desktop,North America,1-10,1.692,2.31,True,True,Paid,Growth,2025-01-12,59
U106034,2025-01-05,Paid Search,Ops Manager,Desktop,Europe,1-10,1.033,27.44,True,True,Paid,Starter,2025-01-06,19
U105481,2025-01-06,Organic Search,Founder,Desktop,APAC,11-50,1.498,14.85,True,True,Paid,Growth,2025-01-10,59
U101743,2025-01-06,Organic Search,Ops Manager,Desktop,North America,51-200,1.349,13.28,True,True,Paid,Starter,2025-01-12,19
U103351,2025-01-07,Partnership,Ops Manager,Desktop,Europe,1-10,1.53,23.54,True,True,Paid,Starter,2025-01-07,19
U105373,2025-01-07,Organic Search,Founder,Desktop,Europe,201-1000,1.404,16.94,True,True,Paid,Starter,2025-01-09,19
