purchase_date,revenue,paying_users,mrr
2025-01-02,38,2,38.0
2025-01-03,59,1,97.0
2025-01-04,118,2,215.0
2025-01-05,19,1,234.0
2025-01-06,57,3,291.0
2025-01-07,78,2,369.0
2025-01-08,19,1,388.0
2025-01-09,187,3,575.0
2025-01-10,59,1,634.0
2025-01-11,97,3,731.0
2025-01-12,194,6,925.0
2025-01-13,149,1,1074.0
2025-01-14,38,2,1112.0
2025-01-15,19,1,1131.0
2025-01-16,227,3,1358.0
2025-01-18,265,5,1623.0
2025-01-19,19,1,1642.0
2025-01-20,38,2,1680.0
2025-01-21,173,7,1853.0
2025-01-22,265,5,2118.0
2025-01-23,57,3,2175.0
2025-01-24,227,3,2402.0
2025-01-25,19,1,2421.0
2025-01-26,116,4,2537.0
2025-01-27,97,3,2634.0
2025-01-29,187,3,2821.0
2025-01-30,38,2,2859.0
2025-01-31,137,3,2996.0
2025-02-01,206,4,3164.0
2025-02-02,404,6,3509.0
2025-02-03,274,6,3665.0
2025-02-04,19,1,3665.0
2025-02-05,265,5,3873.0
2025-02-06,234,6,4029.0
2025-02-07,156,4,4166.0
2025-02-08,305,5,4284.0
2025-02-09,192,8,4417.0
2025-02-10,97,3,4417.0
2025-02-11,371,9,4594.0
2025-02-12,355,5,4800.0
2025-02-13,19,1,4781.0
2025-02-14,194,6,4956.0
2025-02-15,395,5,5124.0
2025-02-16,156,4,5280.0
2025-02-17,433,7,5448.0
2025-02-18,175,5,5604.0
2025-02-19,135,5,5701.0
2025-02-20,251,9,5779.0
2025-02-21,364,6,5878.0
2025-02-22,57,3,5878.0
2025-02-23,286,4,5937.0
2025-02-24,19,1,5937.0
2025-02-25,194,6,6015.0
2025-02-26,135,5,6053.0
2025-02-27,137,3,6190.0
2025-02-28,324,6,6327.0
2025-03-01,156,4,6445.0
2025-03-02,215,5,6523.0
2025-03-03,265,5,6582.0
2025-03-04,461,9,6639.0
2025-03-05,274,6,6639.0
2025-03-06,97,3,6717.0
2025-03-07,343,7,6795.0
2025-03-08,234,6,6795.0
2025-03-09,461,9,7100.0
2025-03-10,454,6,7249.0
2025-03-11,322,8,7379.0
2025-03-12,194,6,7476.0
2025-03-13,390,10,7495.0
2025-03-14,414,6,7554.0
2025-03-15,286,4,7821.0
2025-03-16,499,11,8126.0
2025-03-17,395,5,8126.0
2025-03-18,215,5,8185.0
2025-03-19,549,11,8301.0
2025-03-20,312,8,8438.0
2025-03-21,272,8,8575.0
2025-03-22,407,13,8731.0
2025-03-23,383,7,8750.0
2025-03-24,76,4,8769.0
2025-03-25,591,9,9074.0
2025-03-26,78,2,9133.0
2025-03-27,194,6,9133.0
2025-03-28,213,7,9211.0
2025-03-29,345,5,9419.0
2025-03-30,771,9,9866.0
2025-03-31,215,5,9925.0
2025-04-01,423,7,10133.0
2025-04-02,341,9,10209.0
2025-04-03,480,10,10228.0
2025-04-04,274,6,10228.0
2025-04-05,97,3,10228.0
2025-04-06,343,7,10228.0
2025-04-07,274,6,10268.0
2025-04-08,650,10,10457.0
2025-04-09,374,6,10377.0
2025-04-10,400,10,10455.0
2025-04-11,331,9,10592.0
2025-04-12,468,12,10670.0
2025-04-13,532,8,10788.0
2025-04-14,442,8,10944.0
2025-04-15,558,12,11003.0
2025-04-16,473,7,11081.0
2025-04-17,234,6,11100.0
2025-04-18,606,14,11157.0
2025-04-19,567,13,11412.0
2025-04-20,390,10,11530.0
