activity_date,wau,mau,stickiness_dau_mau
2025-01-01,,748.0,0.06835432120062102
2025-01-06,52.0,,
2025-01-13,147.0,,
2025-01-20,266.0,,
2025-01-27,390.0,,
2025-02-01,,1601.0,0.08566074774694388
2025-02-03,504.0,,
2025-02-10,594.0,,
2025-02-17,735.0,,
2025-02-24,806.0,,
2025-03-01,,2502.0,0.07695778860782343
2025-03-03,871.0,,
2025-03-10,921.0,,
2025-03-17,1098.0,,
2025-03-24,1093.0,,
2025-03-31,1165.0,,
2025-04-01,,3267.0,0.07775737169676564
2025-04-07,1235.0,,
2025-04-14,1357.0,,
2025-04-21,1409.0,,
2025-04-28,1415.0,,
2025-05-01,,3828.0,0.0738699565173425
2025-05-05,1503.0,,
2025-05-12,1541.0,,
2025-05-19,1544.0,,
2025-05-26,1627.0,,
2025-06-01,,4170.0,0.07061550759392485
2025-06-02,1614.0,,
2025-06-09,1654.0,,
2025-06-16,1689.0,,
2025-06-23,1647.0,,
2025-06-30,1716.0,,
2025-07-01,,4538.0,0.0682196221157537
2025-07-07,1774.0,,
2025-07-14,1775.0,,
2025-07-21,1737.0,,
2025-07-28,1727.0,,
2025-08-01,,4575.0,0.06481226864093072
2025-08-04,1706.0,,
2025-08-11,1732.0,,
2025-08-18,1770.0,,
2025-08-25,1717.0,,
2025-09-01,1772.0,4655.0,0.06345148585750089
2025-09-08,1721.0,,
2025-09-15,1785.0,,
2025-09-22,1675.0,,
2025-09-29,1691.0,,
2025-10-01,,4708.0,0.05966508619508318
2025-10-06,1736.0,,
2025-10-13,1615.0,,
2025-10-20,1618.0,,
2025-10-27,1678.0,,
2025-11-01,,4610.0,0.058329718004338386
2025-11-03,1664.0,,
2025-11-10,1698.0,,
2025-11-17,1584.0,,
2025-11-24,1666.0,,
2025-12-01,1609.0,4746.0,0.05681524679526392
2025-12-08,1641.0,,
2025-12-15,1583.0,,
2025-12-22,1628.0,,
2025-12-29,1645.0,,
2026-01-05,536.0,,
